,count,mean,std,min,25%,50%,75%,max,missing_count
lang1,1754.0,82.10205245153934,9.917248384639377,32.0,76.0,83.0,90.0,148.0,0
lang2,1754.0,84.52280501710376,8.974820192607028,20.0,81.0,86.0,90.0,154.0,0
phy,1754.0,74.05929304446978,13.942875747053083,41.0,63.0,75.0,85.0,185.0,0
chem,1754.0,76.69954389965793,13.654916214100378,36.0,67.0,79.0,87.0,175.0,0
maths,1754.0,72.99258836944128,16.15736404262571,30.0,60.0,74.0,86.0,175.0,0
bio,1754.0,69.35860889395667,16.50990532263956,16.0,65.0,72.0,77.0,100.0,0
10th_percentage,1754.0,75.6689067844926,26.771583325847477,0.5,82.18,82.18,82.18,564.0,0
12th_percentage,1754.0,76.76153707715699,8.387406932345156,37.0,73.7,77.4,81.19166666666666,97.0,0
